exchange,stockCode,stockSymbol,companyName
NSE,8024,CINEVISTA,Cinevista
NSE,694,CIPLA,Cipla
NSE,5701,CUB,City Union Bank
NSE,20223,CLEDUCATE,CL Educate
NSE,5049,CLEAN,Clean Science & Technology
NSE,99,CMMIPL,CMM Infraprojects
NSE,7603,CMSINFO,CMS Info Systems
NSE,20374,COALINDIA,Coal India
NSE,6006,COASTCORP,Coastal Corporation
NSE,21508,COCHINSHIP,Cochin Shipyard
NSE,11165,COFFEEDAY,Coffee Day Enterprises
NSE,11543,COFORGE,Coforge
NSE,15141,COLPAL,Colgate Palmolive
NSE,17632,COMPINFO,Compuage Infocom
NSE,31138,COMPUSOFT,Compucom Software
NSE,342,CAMS,Computer Age Management Services
NSE,10238,CONFIPET,Confidence Petroleum India
NSE,11732,CONSOFINVT,Consolidated Finvest & Holdings
NSE,4749,CONCOR,Container Corporation of India
NSE,2531,CONTI,Continental Seeds Chemicals
NSE,17477,CONTROLPR,Control Print
NSE,8560,COOLCAPS,COOL CAPS INDUSTRIES LTD
NSE,4007,CORALFINAC,Coral India Finance
NSE,15275,CORDSCABLE,Cords Cable Industries
NSE,739,COROMANDEL,Coromandel International
NSE,742,COSMOFIRST,Cosmo First
NSE,6385,CCHHL,Country Club Hospitality
NSE,16986,COUNCODOS,Country Condos
NSE,2854,CRAFTSMAN,Craftsman Automation
NSE,16419,CRAYONS,Crayons Advertising
NSE,9384,CREATIVEYE,Creative Eye
NSE,11155,CREATIVE,Creative Newtech
NSE,4421,CREDITACC,Credit Access Grameen
NSE,13900,CREST,Crest Ventures
NSE,757,CRISIL,CRISIL
NSE,17094,CROMPTON,Crompton Greaves Consumer Electricals
NSE,8097,CROWN,CROWN LIFTERS LIMITED
NSE,14966,CSBBANK,CSB Bank
NSE,10350,CSLFINANCE,CSL Finance
NSE,9881,CUBEXTUB,Cubex Tubings
NSE,1901,CUMMINSIND,Cummins India
NSE,18520,CUPID,Cupid
NSE,11842,CYBERMEDIA,Cyber Media India
NSE,11447,CMRSL,Cyber Media Research & Services
NSE,6054,CYBERTECH,Cybertech Systems & Software
NSE,5748,CYIENT,Cyient
NSE,17187,CYIENTDLM,Cyient DLM
NSE,6249,DKEGL,D K ENTERPRISES GLOBAL L
NSE,936,DPABHUSHAN,D P Abhushan
NSE,16900,DPWIRES,D P Wires
NSE,17851,DLINKINDIA,D-Link India
NSE,772,DABUR,Dabur India
NSE,8075,DALBHARAT,Dalmia Bharat
NSE,781,DALMIASUG,Dalmia Bharat Sugar & Industries
NSE,17541,DAMODARIND,Damodar Industries
NSE,1110,DANGEE,Dangee Dums
NSE,7358,DATAPATTNS,Data Patterns India
NSE,11423,DATAMATICS,Datamatics Global Services
NSE,17881,DBCORP,DB Corp
NSE,31107,DBSTOCKBRO,DB International Stock Brokers
NSE,18124,DBREALTY,DB Realty
NSE,11568,DCI,DC Infotech and Communications
NSE,13725,DCBBANK,DCB Bank
NSE,805,DCM,DCM
NSE,8704,DCMFINSERV,DCM Financial Services
NSE,11039,DCMNVL,DCM Nouvelle
NSE,811,DCMSHRIRAM,DCM Shriram Consolidated
NSE,7325,DCMSRIND,DCM Shriram Industries
NSE,817,DCW,DCW
NSE,11895,DCXINDIA,DCX Systems
NSE,15449,DENEERS,De Neers Tools
NSE,4279,DENORA,De Nora India
NSE,8657,DIL,DEBOCK INDUSTRIES LIMITED
NSE,14838,DECCANCE,Deccan Cements
NSE,18248,DEEPENR,Deep Energy Resources
